List length,BST add,BST get_min,BST get_max,Heap add,Heap get_min,Heap get_max
100,0.84493,0.19829,0.19677,0.09911,0.0,0.0
200,1.73593,0.29747,0.14904,0.24796,0.09909,0.04969
300,2.18198,0.54643,0.54524,0.24805,0.09918,0.19848
400,3.06981,0.89264,0.99754,0.49374,0.24805,0.20146
500,4.16131,0.83935,1.24927,0.53823,0.19913,0.30344
600,4.5145,1.09797,1.19066,0.59512,0.3926,0.24786
700,5.30355,1.59338,1.33638,0.59688,0.24819,0.44479
800,5.30667,1.64897,2.3262,0.64471,0.39649,0.64516
900,6.47392,2.16382,1.8306,0.5466,0.70076,0.39377
1000,7.13625,1.1374,3.77014,0.54357,0.64464,0.69702
1100,8.27219,1.49729,2.1347,0.94316,0.99218,0.59757
1200,9.75387,2.48225,2.74377,1.03793,0.60139,0.49996
1300,9.71103,3.52476,1.99013,1.33936,0.44892,0.88992
1400,11.01367,2.4796,3.42684,0.93508,0.89636,0.79539
1500,11.74867,2.39024,2.53336,1.18983,1.03827,0.74747
1600,12.44979,3.27487,2.73101,1.76218,1.44763,0.99242
1700,16.62123,3.2747,3.91471,1.63052,0.68867,0.79319
1800,15.75785,4.76322,5.12145,1.87914,1.14408,1.24617
1900,18.50379,4.50974,6.05733,2.48194,1.28932,1.09076
2000,19.45322,3.16162,4.46713,1.73626,1.04158,0.84295
2100,17.39299,5.52063,7.14083,2.0864,1.38588,1.34089
2200,17.95802,7.24516,6.44405,1.49875,1.0385,1.43807
2300,24.87898,5.23419,4.25315,2.4209,1.33438,1.5949
2400,23.27347,4.80926,6.74222,2.38149,1.44057,1.7791
2500,20.55638,4.59661,4.212,2.2717,1.28896,1.29101
2600,20.77816,3.71997,5.31476,2.42586,1.24505,1.78981
2700,21.24383,7.0241,5.26512,2.57146,1.88062,1.98922
2800,26.62594,9.12185,5.02331,2.07479,1.93491,1.94118
2900,21.51556,5.71167,7.39577,2.24593,1.87831,1.73237
3000,22.06082,5.51133,7.88345,2.33381,1.88413,1.78418
3100,25.87447,4.37186,8.48925,3.12467,1.53005,1.69618
3200,22.77706,7.09581,8.0795,2.38731,2.11062,1.89204
3300,28.01025,8.09901,10.12123,2.77891,2.08254,2.0334
3400,25.0526,8.18214,8.13849,3.32527,2.13306,1.58639
3500,24.97072,7.68137,8.87027,3.86269,1.48549,1.49283
3600,29.0005,7.1435,8.69741,3.46949,1.88084,2.77703
3700,29.10988,9.3781,7.68526,2.93264,2.2305,1.83289
3800,29.80447,8.53975,11.51271,2.63505,2.2357,2.67642
3900,30.61147,9.41811,9.46925,3.42224,1.98858,2.13163
4000,31.40438,10.81052,7.78248,3.82385,2.32673,1.93872
4100,33.39367,7.35414,9.14793,4.01473,1.63531,2.28767
4200,31.06046,15.52508,8.57608,3.27597,2.77634,1.93534
4300,35.66196,10.93025,11.98721,3.72951,2.38469,2.32613
4400,32.59251,9.62813,9.71622,3.87521,1.99225,2.46742
4500,34.46548,14.47163,7.94818,3.18065,2.77126,1.94001
4600,31.12473,8.73594,10.87098,4.20494,2.42903,2.29173
4700,37.51807,11.69155,14.82947,4.01187,2.983,2.87735
4800,40.08436,11.54826,11.25238,4.01728,2.77705,2.12879
4900,35.21791,7.6066,15.20462,4.0668,2.38156,2.72846
5000,37.31339,9.62083,12.97841,3.71141,2.22392,3.47581
5100,37.39128,14.47344,12.40556,5.20363,2.17948,2.64003
5200,44.66352,13.43915,8.20584,4.77915,2.27511,2.9608
5300,38.07576,15.49256,9.96537,4.54977,3.95989,2.42686
5400,47.82579,6.15094,9.36694,5.158,3.17371,3.0757
5500,42.73839,14.2066,11.55069,4.36368,3.23327,3.36742
5600,39.72657,6.82898,13.70902,5.35231,2.42867,3.07262
5700,48.45843,10.8285,15.55729,5.34801,3.23231,2.77689
5800,44.50276,9.63275,14.70599,4.42059,3.01816,3.46999
5900,50.60501,7.97527,15.27708,5.35626,3.27377,3.42383
6000,46.62316,8.7193,16.11521,5.10993,3.47192,3.77004
6100,46.05479,22.60761,10.23612,5.91118,3.02699,3.12045
6200,48.52698,15.37457,21.85111,4.86705,3.26471,3.26467
6300,46.43531,10.96315,19.72854,6.03323,2.44188,3.37601
6400,48.86768,14.52913,10.65228,6.56683,3.33292,3.407
6500,50.82538,19.59593,11.95929,5.45437,3.17369,3.76964
6600,50.03397,19.69526,17.16955,5.82178,3.90365,3.32386
6700,51.29888,13.14421,17.65091,5.55696,3.57082,3.86837
6800,50.40045,12.1665,16.48736,5.69887,3.12245,4.6104
6900,52.75545,16.46066,14.71279,5.49393,3.9655,4.1271
7000,56.33538,17.51821,18.25709,5.95484,3.67076,3.67305
7100,55.08628,17.80701,17.07804,6.00288,4.06182,4.7133
7200,55.60822,19.84622,16.70284,6.35509,4.05688,4.11184
7300,55.93278,11.64644,19.49811,5.88484,4.22113,4.16856
7400,57.36148,13.4002,14.48116,6.29871,3.71943,3.42245
7500,55.96569,15.03725,20.84808,6.42655,4.02601,3.2733
7600,66.56902,16.93666,14.20994,7.13363,3.76809,4.11098
7700,56.7847,19.21997,20.60318,7.13365,3.22721,4.01745
7800,60.42778,17.93182,17.07683,6.69832,3.62165,4.2659
7900,56.00815,17.06522,22.35579,6.69808,4.61206,3.96476
8000,63.21788,21.94583,16.95693,6.54602,4.36609,4.36685
8100,58.90875,13.98354,24.41001,7.09746,4.35822,4.41461
8200,62.12752,18.46683,21.12002,7.53424,5.15056,3.53637
8300,63.59026,11.31709,18.72993,6.69732,4.71289,4.06344
8400,63.49237,16.71715,21.72675,7.39856,4.46403,4.71783
8500,62.14366,23.90661,23.21148,7.2916,4.61531,4.65724
8600,66.01913,14.58526,25.98519,7.47783,5.40502,4.476
8700,65.29434,9.86531,21.80989,7.12323,4.95472,5.10123
8800,63.0542,21.0495,20.26308,8.91726,4.25711,5.25732
8900,66.2334,20.98634,23.29762,6.88376,5.36826,4.76336
9000,72.45197,22.46037,26.07195,6.63059,5.69329,4.8173
9100,66.10844,26.40929,31.77898,6.82728,5.18386,5.00834
9200,71.38302,17.19213,20.99423,7.42543,4.85423,5.16431
9300,75.59364,28.56696,19.15228,8.44176,4.8697,5.00557
9400,71.54317,17.20471,28.76675,8.49216,5.0488,4.01189
9500,76.46627,16.95592,17.24653,8.0198,5.91063,5.45502
9600,71.31464,21.30957,19.92636,9.24575,5.61888,5.42531
9700,73.44611,25.14379,24.03381,8.68206,5.75674,5.45111
9800,86.98492,15.49006,21.03248,8.21636,5.02708,6.14443
9900,80.54256,24.47503,18.77801,7.88913,5.98121,5.15652
10000,73.54188,22.02954,29.72786,7.56209,5.91767,5.20909
